"count","state","yyyy","functional_classification"
"12","CO","2004","Principal Arterial - Other"
"12","CO","2017","Principal Arterial - Other"
"11","CA","2015","Principal Arterial - Other Freeways and Expressways"
"12","OR","2023","Minor Arterial"
"3","MD","2024","Trail or Shared Use Path"
"12","CO","2011","Major Collector"
"12","MN","2016","Major Collector"
"3","CO","2024","Minor Collector"
"12","CO","2019","Local"
"12","CO","2016","Principal Arterial - Other Freeways and Expressways"
"12","CO","2021","Minor Collector"
"12","CO","2008","Major Collector"
"2","OR","2015","Interstate"
"12","OR","2017","Minor Arterial"
"8","OR","2012","Major Collector"
"12","VA","2023","Major Collector"
"12","WA","2011","Trail or Shared Use Path"
"2","OR","2008","Principal Arterial - Other"
"12","CA","2016","Major Collector"
"9","OR","2016","Major Collector"
"12","VA","2021","Principal Arterial - Other"
"12","OR","2019","Minor Arterial"
"12","CA","2018","Principal Arterial - Other Freeways and Expressways"
"12","MN","2014","Minor Arterial"
"12","CO","2017","Local"
"12","CA","2022","Principal Arterial - Other"
"12","VA","2017","Major Collector"
"12","CO","2011","Principal Arterial - Other"
"12","CO","2008","Principal Arterial - Other Freeways and Expressways"
"12","VA","2016","Minor Arterial"
"3","VA","2024","Minor Arterial"
"12","WA","2020","Interstate"
"12","MN","2022","Minor Arterial"
"12","CA","2016","Trail or Shared Use Path"
"12","CO","2021","Principal Arterial - Other"
"12","DC","2023","Trail or Shared Use Path"
"8","VA","2012","Minor Arterial"
"12","CO","2023","Local"
"12","VA","2011","Trail or Shared Use Path"
"7","MN","2014","Trail or Shared Use Path"
"5","WA","2017","Minor Collector"
"12","CO","2017","Major Collector"
"12","CO","2019","Major Collector"
"8","OR","2014","Local"
"12","DC","2022","Minor Arterial"
"12","MN","2016","Trail or Shared Use Path"
"12","CO","2004","Trail or Shared Use Path"
"12","WA","2018","Principal Arterial - Other"
"12","CA","2013","Trail or Shared Use Path"
"12","VA","2020","Trail or Shared Use Path"
"12","WA","2019","Principal Arterial - Other Freeways and Expressways"
"3","WA","2024","Principal Arterial - Other Freeways and Expressways"
"12","WA","2013","Minor Collector"
"12","WA","2016","Interstate"
"12","WA","2015","Principal Arterial - Other"
"12","MD","2016","Trail or Shared Use Path"
"12","CA","2018","Minor Arterial"
"12","CO","2007","Major Collector"
"12","OR","2022","Minor Arterial"
"11","CA","2019","Principal Arterial - Other Freeways and Expressways"
"7","CO","2005","Major Collector"
"12","WA","2012","Minor Collector"
"12","MN","2022","Trail or Shared Use Path"
"12","MN","2020","Major Collector"
"12","OR","2016","Trail or Shared Use Path"
"12","WA","2018","Minor Arterial"
"12","MN","2020","Minor Arterial"
"6","CA","2023","Minor Arterial"
"12","VA","2018","Principal Arterial - Other"
"12","WA","2021","Principal Arterial - Other"
"12","CO","2016","Principal Arterial - Other"
"7","CO","2013","Trail or Shared Use Path"
"12","MN","2015","Trail or Shared Use Path"
"12","CA","2014","Minor Arterial"
"12","CA","2019","Major Collector"
"12","CA","2013","Major Collector"
"12","DC","2015","Minor Arterial"
"12","MN","2023","Major Collector"
"12","DC","2017","Major Collector"
"12","OR","2016","Minor Arterial"
"12","WA","2014","Interstate"
"8","CO","2005","Principal Arterial - Other Freeways and Expressways"
"12","CA","2018","Trail or Shared Use Path"
"2","MN","2013","Minor Arterial"
"12","MN","2023","Minor Arterial"
"3","DC","2024","Minor Arterial"
"12","WA","2023","Principal Arterial - Other Freeways and Expressways"
"12","OR","2021","Minor Arterial"
"12","WA","2010","Trail or Shared Use Path"
"1","OR","2012","Interstate"
"12","OR","2015","Local"
"12","CO","2012","Principal Arterial - Other Freeways and Expressways"
"12","CO","2012","Trail or Shared Use Path"
"12","WA","2014","Minor Collector"
"12","OR","2019","Local"
"12","OR","2020","Principal Arterial - Other"
"11","WA","2010","Principal Arterial - Other Freeways and Expressways"
"12","VA","2013","Major Collector"
"12","OR","2015","Principal Arterial - Other"
"2","VA","2012","Major Collector"
"12","VA","2020","Minor Arterial"
"12","VA","2014","Principal Arterial - Other"
"3","CO","2024","Principal Arterial - Other"
"3","VA","2024","Trail or Shared Use Path"
"2","WA","2013","Interstate"
"3","VA","2024","Interstate"
"11","OR","2013","Minor Collector"
"12","OR","2018","Minor Arterial"
"12","MN","2018","Trail or Shared Use Path"
"3","OR","2014","Interstate"
"5","WA","2017","Major Collector"
"5","CO","2014","Trail or Shared Use Path"
"12","CA","2021","Principal Arterial - Other"
"12","CO","2023","Major Collector"
"12","OR","2012","Principal Arterial - Other"
"12","VA","2013","Minor Arterial"
"12","WA","2018","Trail or Shared Use Path"
"12","OR","2019","Principal Arterial - Other"
"3","CO","2024","Major Collector"
"12","CO","2016","Major Collector"
"12","VA","2018","Interstate"
"12","OR","2015","Trail or Shared Use Path"
"12","DC","2023","Major Collector"
"12","OR","2013","Trail or Shared Use Path"
"2","MD","2014","Trail or Shared Use Path"
"12","OR","2020","Minor Arterial"
"12","CO","2020","Principal Arterial - Other"
"1","OR","2009","Principal Arterial - Other"
"12","VA","2017","Trail or Shared Use Path"
"12","WA","2021","Minor Arterial"
"12","VA","2019","Major Collector"
"12","OR","2011","Principal Arterial - Other"
"12","CO","2004","Major Collector"
"12","VA","2017","Minor Arterial"
"12","WA","2012","Principal Arterial - Other Freeways and Expressways"
"12","OR","2016","Local"
"12","CO","2012","Major Collector"
"12","WA","2020","Minor Arterial"
"12","OR","2012","Trail or Shared Use Path"
"12","OR","2011","Trail or Shared Use Path"
