"segment_area_id","start_time","flow_type","volume"
37,"2019-01-01","bike","18"
37,"2019-02-01","bike","19"
37,"2019-03-01","bike","26"
37,"2019-04-01","bike","40"
37,"2019-05-01","bike","45"
37,"2019-06-01","bike","48"
37,"2019-07-01","bike","45"
37,"2019-08-01","bike","43"
37,"2019-09-01","bike","49"
37,"2019-10-01","bike","35"
37,"2019-11-01","bike","22"
37,"2019-12-01","bike","14"
37,"2020-01-01","bike","19"
37,"2020-02-01","bike","34"
37,"2020-03-01","bike","75"
37,"2020-04-01","bike","142"
37,"2020-05-01","bike","172"
37,"2020-06-01","bike","147"
37,"2020-07-01","bike","114"
37,"2020-08-01","bike","111"
37,"2020-09-01","bike","127"
37,"2020-10-01","bike","90"
37,"2020-11-01","bike","84"
37,"2020-12-01","bike","55"
37,"2021-01-01","bike","51"
37,"2021-02-01","bike","35"
37,"2021-03-01","bike","73"
37,"2021-04-01","bike","100"
37,"2021-05-01","bike","99"
37,"2021-06-01","bike","93"
37,"2021-07-01","bike","82"
37,"2021-08-01","bike","77"
37,"2021-09-01","bike","90"
37,"2021-10-01","bike","76"
37,"2021-11-01","bike","52"
37,"2021-12-01","bike","46"
37,"2022-01-01","bike","19"
37,"2022-02-01","bike","38"
37,"2022-03-01","bike","55"
37,"2022-04-01","bike","62"
37,"2022-05-01","bike","49"
37,"2022-06-01","bike","63"
37,"2022-07-01","bike","59"
37,"2022-08-01","bike","68"
37,"2022-09-01","bike","72"
37,"2022-10-01","bike","57"
37,"2022-11-01","bike","46"
37,"2022-12-01","bike","27"
37,"2023-01-01","bike","36"
37,"2023-02-01","bike","19"
37,"2023-03-01","bike","20"
37,"2023-04-01","bike","58"
37,"2023-05-01","bike","69"
37,"2023-06-01","bike","58"
37,"2023-07-01","bike","55"
37,"2023-08-01","bike","59"
37,"2023-09-01","bike","53"
37,"2023-10-01","bike","57"
37,"2023-11-01","bike","37"
37,"2023-12-01","bike","24"
37,"2024-01-01","bike","21"
37,"2024-02-01","bike","31"
37,"2024-03-01","bike","40"
37,"2024-04-01","bike","53"
37,"2024-05-01","bike","53"
38,"2020-02-01","mixed","226"
38,"2020-03-01","mixed","345"
38,"2020-04-01","mixed","160"
38,"2020-05-01","mixed","273"
38,"2020-06-01","mixed","287"
38,"2020-07-01","mixed","414"
38,"2020-08-01","mixed","254"
38,"2020-09-01","mixed","287"
38,"2020-10-01","mixed","247"
38,"2020-11-01","mixed","211"
38,"2020-12-01","mixed","140"
38,"2021-01-01","mixed","139"
38,"2021-02-01","mixed","135"
38,"2021-03-01","mixed","257"
38,"2021-04-01","mixed","326"
38,"2021-05-01","mixed","305"
38,"2021-06-01","mixed","276"
38,"2021-07-01","mixed","305"
38,"2021-08-01","mixed","265"
38,"2021-09-01","mixed","320"
38,"2021-10-01","mixed","271"
38,"2021-11-01","mixed","179"
38,"2021-12-01","mixed","150"
38,"2022-01-01","mixed","111"
38,"2022-02-01","mixed","190"
38,"2022-03-01","mixed","368"
38,"2022-04-01","mixed","268"
38,"2022-05-01","mixed","221"
38,"2022-06-01","mixed","250"
38,"2022-07-01","mixed","203"
38,"2022-08-01","mixed","204"
38,"2022-09-01","mixed","218"
38,"2022-10-01","mixed","232"
38,"2022-11-01","mixed","172"
38,"2022-12-01","mixed","119"
38,"2023-01-01","mixed","171"
38,"2023-02-01","mixed","195"
38,"2023-03-01","mixed","394"
38,"2023-04-01","mixed","317"
38,"2023-05-01","mixed","297"
38,"2023-06-01","mixed","268"
38,"2023-07-01","mixed","206"
38,"2023-08-01","mixed","263"
38,"2023-09-01","mixed","262"
38,"2023-10-01","mixed","278"
38,"2023-11-01","mixed","165"
38,"2023-12-01","mixed","124"
38,"2024-01-01","mixed","160"
39,"2019-01-01","bike","270"
39,"2019-02-01","bike","356"
39,"2019-03-01","bike","507"
39,"2019-04-01","bike","822"
39,"2019-05-01","bike","957"
39,"2019-06-01","bike","996"
39,"2019-07-01","bike","942"
39,"2019-08-01","bike","963"
39,"2019-09-01","bike","982"
39,"2019-10-01","bike","726"
39,"2019-11-01","bike","449"
39,"2019-12-01","bike","295"
39,"2020-01-01","bike","390"
39,"2020-02-01","bike","382"
39,"2020-03-01","bike","767"
39,"2020-04-01","bike","763"
39,"2020-05-01","bike","1028"
39,"2020-06-01","bike","1133"
39,"2020-07-01","bike","966"
39,"2020-08-01","bike","705"
39,"2020-09-01","bike","801"
39,"2020-10-01","bike","723"
39,"2020-11-01","bike","609"
39,"2020-12-01","bike","344"
39,"2021-01-01","bike","333"
39,"2021-02-01","bike","208"
39,"2021-02-01","ped","500"
39,"2021-03-01","ped","633"
