"functional_classification","avg_volume","avg_sample_count","state","start_time"
"Major Collector","4063.0000000000000000","2976.0000000000000000","DC","2023-01-01"
"Minor Arterial","2025.6993695823483058","2976.0000000000000000","DC","2023-01-01"
"Trail or Shared Use Path","3958.4912224704755825","2351.1158633897223109","DC","2023-01-01"
"Major Collector","3838.0000000000000000","2688.0000000000000000","DC","2023-02-01"
"Minor Arterial","1994.9011032308904649","2688.0000000000000000","DC","2023-02-01"
"Trail or Shared Use Path","4080.8557293329077561","2321.8680178742419406","DC","2023-02-01"
"Major Collector","5421.0000000000000000","2968.0000000000000000","DC","2023-03-01"
"Minor Arterial","2547.2178881008668243","2930.2758077226162333","DC","2023-03-01"
"Trail or Shared Use Path","5093.0759393748026524","2480.3659614777391853","DC","2023-03-01"
"Major Collector","6395.0000000000000000","2880.0000000000000000","DC","2023-04-01"
"Minor Arterial","2815.4542947202521671","2880.0000000000000000","DC","2023-04-01"
"Trail or Shared Use Path","8368.3411746131986107","2494.4663719608462267","DC","2023-04-01"
"Major Collector","7391.0000000000000000","2976.0000000000000000","DC","2023-05-01"
"Minor Arterial","3090.9078014184397163","2976.0000000000000000","DC","2023-05-01"
"Trail or Shared Use Path","7709.6914876433532547","2399.1074139880471652","DC","2023-05-01"
"Major Collector","5412.0000000000000000","2481.0000000000000000","DC","2023-06-01"
"Minor Arterial","2636.7970843183609141","2811.4609929078014184","DC","2023-06-01"
"Trail or Shared Use Path","26612.192733789508","2324.4708374063212773","DC","2023-06-01"
"Major Collector","5632.0000000000000000","2866.0000000000000000","DC","2023-07-01"
"Minor Arterial","2432.7202521670606777","2887.4609929078014184","DC","2023-07-01"
"Trail or Shared Use Path","25759.397723352880","2319.0444981027940669","DC","2023-07-01"
"Major Collector","38741.339901477833","2882.8374384236453202","DC","2023-08-01"
"Minor Arterial","2596.7245862884160757","2976.0000000000000000","DC","2023-08-01"
"Trail or Shared Use Path","26210.883085576537","2426.1020490156689434","DC","2023-08-01"
"Major Collector","34235.768472906404","2741.4384236453201970","DC","2023-09-01"
