"functional_classification","avg_volume","avg_sample_count","state","start_time"
"Major Collector","3491.0000000000000000","2976.0000000000000000","DC","2019-01-01"
"Minor Arterial","2413.3257458563535912","2881.2517127071823204","DC","2019-01-01"
"Trail or Shared Use Path","1142.6910066677508538","2853.6737680923727435","DC","2019-01-01"
"Major Collector","3847.0000000000000000","2688.0000000000000000","DC","2019-02-01"
"Minor Arterial","2673.0397963905599260","2688.0000000000000000","DC","2019-02-01"
"Trail or Shared Use Path","1704.4023418442023093","2577.5117905350463490","DC","2019-02-01"
"Major Collector","5539.0000000000000000","2972.0000000000000000","DC","2019-03-01"
"Minor Arterial","3425.3276260990282277","2972.0000000000000000","DC","2019-03-01"
"Trail or Shared Use Path","2705.0829403154984550","2838.7516669377134493","DC","2019-03-01"
"Major Collector","7808.0000000000000000","2880.0000000000000000","DC","2019-04-01"
"Minor Arterial","4069.4247513812154696","2771.4342541436464088","DC","2019-04-01"
"Trail or Shared Use Path","3312.1397393149439224","2722.8905729008790543","DC","2019-04-01"
"Major Collector","8113.0000000000000000","2976.0000000000000000","DC","2019-05-01"
"Minor Arterial","4231.2464088397790055","2976.0000000000000000","DC","2019-05-01"
"Trail or Shared Use Path","3624.0016671718702637","2861.8960290997271901","DC","2019-05-01"
"Major Collector","2456.0000000000000000","864.0000000000000000","DC","2019-06-01"
"Minor Arterial","4044.1752486187845304","2758.0587845303867403","DC","2019-06-01"
"Trail or Shared Use Path","5635.5102186651422038","2633.5240817493211376","DC","2019-06-01"
"Major Collector","1846.0000000000000000","653.0000000000000000","DC","2019-07-01"
"Minor Arterial","4961.7317127071823204","2863.1275138121546961","DC","2019-07-01"
"Trail or Shared Use Path","5813.2206684379807020","2683.2087819885330723","DC","2019-07-01"
"Major Collector","4365.1669626998223801","1723.8294849023090586","DC","2019-08-01"
"Minor Arterial","8159.4395580110497238","2972.1387845303867403","DC","2019-08-01"
"Trail or Shared Use Path","7740.8713466648021256","2665.7603132429030905","DC","2019-08-01"
"Major Collector","9967.9857904085257549","2880.0000000000000000","DC","2019-09-01"
"Minor Arterial","9151.4088397790055249","2880.0000000000000000","DC","2019-09-01"
"Trail or Shared Use Path","7644.5712487763949098","2582.0802684939169347","DC","2019-09-01"
"Major Collector","9358.4209591474245115","2976.0000000000000000","DC","2019-10-01"
"Minor Arterial","9062.2057458563535912","2976.0000000000000000","DC","2019-10-01"
"Trail or Shared Use Path","7461.2068242203887568","2684.8713466648021256","DC","2019-10-01"
"Major Collector","6466.9129662522202487","2872.0000000000000000","DC","2019-11-01"
"Minor Arterial","6233.6815469613259669","2872.0000000000000000","DC","2019-11-01"
"Trail or Shared Use Path","5605.0560760732764648","2471.9675569850370578","DC","2019-11-01"
"Major Collector","4339.3694493783303730","2976.0000000000000000","DC","2019-12-01"
"Minor Arterial","4263.4006629834254144","2558.5931491712707182","DC","2019-12-01"
"Trail or Shared Use Path","3410.8210040553768704","2538.3247098307928961","DC","2019-12-01"
"Major Collector","1363.8651509212073697","2976.0000000000000000","MN","2019-01-01"
"Minor Arterial","1266.4112988384371700","2976.0000000000000000","MN","2019-01-01"
"Trail or Shared Use Path","75.2924596832776406","2976.0000000000000000","MN","2019-01-01"
"Major Collector","1015.8820070560564485","2688.0000000000000000","MN","2019-02-01"
"Minor Arterial","934.0818373812038015","2596.4857444561774023","MN","2019-02-01"
"Trail or Shared Use Path","36.5137294784251053","2687.5757663809385442","MN","2019-02-01"
"Major Collector","1352.2896903175225402","2972.0000000000000000","MN","2019-03-01"
"Minor Arterial","1596.2162090813093981","2669.2756071805702218","MN","2019-03-01"
"Trail or Shared Use Path","186.1718727299142816","2972.0000000000000000","MN","2019-03-01"
"Major Collector","1755.4018032144257154","2624.0815366522932183","MN","2019-04-01"
"Minor Arterial","3630.6892819429778247","2492.1541710665258712","MN","2019-04-01"
"Trail or Shared Use Path","1469.5717938366303324","2873.7569640694388373","MN","2019-04-01"
"Major Collector","2752.6342484876686831","2976.0000000000000000","MN","2019-05-01"
"Minor Arterial","4171.5736536430834213","2559.6552270327349525","MN","2019-05-01"
"Trail or Shared Use Path","2818.8538004299987353","2841.7923359048943974","MN","2019-05-01"
"Major Collector","3626.8762214983713355","2880.0000000000000000","MN","2019-06-01"
"Minor Arterial","5509.6214361140443506","2750.0918690601900739","MN","2019-06-01"
"Trail or Shared Use Path","4259.5631783465094466","2870.4971191209969181","MN","2019-06-01"
"Major Collector","3842.8040949278734295","2976.0000000000000000","MN","2019-07-01"
"Minor Arterial","5867.4244984160506864","2975.6684266103484688","MN","2019-07-01"
"Trail or Shared Use Path","4221.3242663808120059","2836.9792308723033633","MN","2019-07-01"
"Major Collector","3587.5798045602605863","2976.0000000000000000","MN","2019-08-01"
"Minor Arterial","6104.8107180570221753","2970.8606124604012672","MN","2019-08-01"
"Trail or Shared Use Path","3867.1784805038188396","2928.5073026932868820","MN","2019-08-01"
"Major Collector","2735.2598980791846335","2540.7189337514700118","MN","2019-09-01"
"Minor Arterial","4822.0628299894403379","2880.0000000000000000","MN","2019-09-01"
"Trail or Shared Use Path","2770.8999062039394345","2880.0000000000000000","MN","2019-09-01"
"Major Collector","2505.6965895727165817","2975.4276754214033712","MN","2019-10-01"
"Minor Arterial","3221.4963041182682154","2976.0000000000000000","MN","2019-10-01"
"Trail or Shared Use Path","1240.7335272543316049","2962.8008094093840900","MN","2019-10-01"
"Major Collector","1265.5115640925127401","2751.0874166993335947","MN","2019-11-01"
"Minor Arterial","1585.5224392819429778","2669.2988384371700106","MN","2019-11-01"
"Trail or Shared Use Path","425.6087011508789680","2706.9310737321360820","MN","2019-11-01"
"Major Collector","1289.8881903906600808","2976.0000000000000000","MN","2019-12-01"
"Minor Arterial","811.5900211193241816","2824.1436114044350581","MN","2019-12-01"
"Trail or Shared Use Path","215.4355634248134564","2830.2493992664727457","MN","2019-12-01"
"Interstate","3803.5000000000000000","2976.0000000000000000","VA","2019-01-01"
"Major Collector","1456.0000000000000000","2976.0000000000000000","VA","2019-01-01"
"Minor Arterial","594.1168403730115195","2976.0000000000000000","VA","2019-01-01"
"Principal Arterial - Other","4397.3597857838364167","2976.0000000000000000","VA","2019-01-01"
"Trail or Shared Use Path","3432.1206284845413077","2936.2635580334515966","VA","2019-01-01"
"Interstate","4474.0000000000000000","2688.0000000000000000","VA","2019-02-01"
"Major Collector","1735.0000000000000000","2688.0000000000000000","VA","2019-02-01"
"Minor Arterial","664.7866154690071311","2688.0000000000000000","VA","2019-02-01"
"Principal Arterial - Other","4652.2916260954235638","2361.1139240506329114","VA","2019-02-01"
"Trail or Shared Use Path","3943.8253083291096469","2650.5419834431491806","VA","2019-02-01"
"Interstate","7287.5000000000000000","2880.0000000000000000","VA","2019-03-01"
"Major Collector","2866.0000000000000000","2972.0000000000000000","VA","2019-03-01"
"Minor Arterial","1021.5041140976412507","2972.0000000000000000","VA","2019-03-01"
"Principal Arterial - Other","6714.9615384615384615","2440.8101265822784810","VA","2019-03-01"
"Trail or Shared Use Path","21183.146308498057","2859.1974995776313566","VA","2019-03-01"
"Interstate","12638.000000000000","2880.0000000000000000","VA","2019-04-01"
"Major Collector","4302.0000000000000000","2880.0000000000000000","VA","2019-04-01"
"Minor Arterial","1560.1453647833241909","2880.0000000000000000","VA","2019-04-01"
"Principal Arterial - Other","10050.834956183057","2411.1489776046738072","VA","2019-04-01"
"Trail or Shared Use Path","10212.838148335868","2785.6269640141915864","VA","2019-04-01"
"Interstate","13426.000000000000","2784.0000000000000000","VA","2019-05-01"
"Major Collector","5448.0000000000000000","2976.0000000000000000","VA","2019-05-01"
"Minor Arterial","1805.3329676357652222","2976.0000000000000000","VA","2019-05-01"
"Principal Arterial - Other","12483.602240896359","2943.4487394957983193","VA","2019-05-01"
"Trail or Shared Use Path","5508.4195826141534599","2728.1694649301741723","VA","2019-05-01"
"Major Collector","5956.0000000000000000","2880.0000000000000000","VA","2019-06-01"
"Minor Arterial","1948.0109709270433352","2879.2013165112452002","VA","2019-06-01"
"Principal Arterial - Other","8431.4581304771178189","2314.5481986368062317","VA","2019-06-01"
"Trail or Shared Use Path","12516.535508935509","2563.6017094017094017","VA","2019-06-01"
"Major Collector","5551.0000000000000000","2976.0000000000000000","VA","2019-07-01"
"Minor Arterial","1724.4503565551289084","2976.0000000000000000","VA","2019-07-01"
"Principal Arterial - Other","8404.8449519230769231","2656.1538461538461538","VA","2019-07-01"
"Trail or Shared Use Path","14885.145960502693","2963.6111310592459605","VA","2019-07-01"
"Major Collector","5726.0000000000000000","2976.0000000000000000","VA","2019-08-01"
"Minor Arterial","1848.9429511793746572","2976.0000000000000000","VA","2019-08-01"
"Principal Arterial - Other","10523.954258675079","2647.5993690851735016","VA","2019-08-01"
"Trail or Shared Use Path","15412.454757630162","2796.4782764811490126","VA","2019-08-01"
"Major Collector","5169.0000000000000000","2880.0000000000000000","VA","2019-09-01"
"Minor Arterial","1951.0120680197476687","2880.0000000000000000","VA","2019-09-01"
"Principal Arterial - Other","11597.885646687697","2650.8832807570977918","VA","2019-09-01"
"Trail or Shared Use Path","16729.454244548287","2880.0000000000000000","VA","2019-09-01"
"Major Collector","4108.0000000000000000","2976.0000000000000000","VA","2019-10-01"
"Minor Arterial","1647.3241908941305540","2976.0000000000000000","VA","2019-10-01"
"Principal Arterial - Other","10311.121451104101","2953.0883280757097792","VA","2019-10-01"
"Trail or Shared Use Path","10747.879672897196","2975.9345794392523364","VA","2019-10-01"
"Major Collector","2323.0000000000000000","2872.0000000000000000","VA","2019-11-01"
"Minor Arterial","1051.8853235139400316","2788.5839032088374540","VA","2019-11-01"
"Principal Arterial - Other","5006.5235223160434258","2395.4378769601930036","VA","2019-11-01"
"Trail or Shared Use Path","5533.8319136854060193","2753.4306265379519213","VA","2019-11-01"
"Interstate","1.00000000000000000000","2081.0000000000000000","VA","2019-12-01"
"Major Collector","1482.0000000000000000","2976.0000000000000000","VA","2019-12-01"
"Minor Arterial","830.2130457653866386","2948.4271436086270384","VA","2019-12-01"
"Principal Arterial - Other","4143.4420989143546441","2881.1363088057901086","VA","2019-12-01"
"Trail or Shared Use Path","3800.7007466973004021","2753.3187823090178059","VA","2019-12-01"
