"functional_classification","t_volume","t_sample_count","t_volume_corrected","state","start_time"
"Interstate","6363","4416","6363","CA","2012-02-01"
"Major Collector","0","5160","0","CA","2012-02-01"
"Minor Arterial","8813","8736","8813","CA","2012-02-01"
"Minor Collector","15194","4032","15194","CA","2012-02-01"
"Trail or Shared Use Path","1727","10672","1727","CA","2012-02-01"
"Interstate","9703","5936","9152","CA","2012-03-01"
"Major Collector","4375","9192","4375","CA","2012-03-01"
"Minor Arterial","16644","18096","15968","CA","2012-03-01"
"Minor Collector","23708","5936","22429","CA","2012-03-01"
"Trail or Shared Use Path","8387","14936","7990","CA","2012-03-01"
"Interstate","11023","5760","11023","CA","2012-04-01"
"Major Collector","12094","11520","12094","CA","2012-04-01"
"Minor Arterial","19819","22648","19819","CA","2012-04-01"
"Minor Collector","23876","5760","23876","CA","2012-04-01"
"Trail or Shared Use Path","11593","17280","11593","CA","2012-04-01"
"Interstate","13019","5952","13019","CA","2012-05-01"
"Major Collector","14280","11904","14280","CA","2012-05-01"
"Minor Arterial","24645","32536","24645","CA","2012-05-01"
"Minor Collector","27906","5952","27906","CA","2012-05-01"
"Trail or Shared Use Path","13003","17856","13003","CA","2012-05-01"
"Interstate","13785","5760","13785","CA","2012-06-01"
"Major Collector","16342","11520","16342","CA","2012-06-01"
"Minor Arterial","25598","31680","25598","CA","2012-06-01"
"Minor Collector","28865","5760","28865","CA","2012-06-01"
"Trail or Shared Use Path","14500","17280","14500","CA","2012-06-01"
"Interstate","16497","5952","16497","CA","2012-07-01"
"Major Collector","19594","11904","19594","CA","2012-07-01"
"Minor Arterial","29563","32736","29563","CA","2012-07-01"
"Minor Collector","16969","5952","16969","CA","2012-07-01"
"Trail or Shared Use Path","15921","17856","15921","CA","2012-07-01"
"Interstate","17847","5952","17847","CA","2012-08-01"
"Major Collector","44589","16120","44589","CA","2012-08-01"
"Minor Arterial","28342","32735","28342","CA","2012-08-01"
"Minor Collector","0","5952","0","CA","2012-08-01"
"Trail or Shared Use Path","10200","15606","10200","CA","2012-08-01"
"Interstate","15197","5760","15197","CA","2012-09-01"
"Major Collector","58948","23214","58948","CA","2012-09-01"
"Minor Arterial","31730","35115","31730","CA","2012-09-01"
"Minor Collector","0","5760","0","CA","2012-09-01"
"Principal Arterial - Other","13760","10434","13760","CA","2012-09-01"
"Trail or Shared Use Path","10885","15346","10885","CA","2012-09-01"
"Interstate","11797","5952","11797","CA","2012-10-01"
"Major Collector","47914","29758","47914","CA","2012-10-01"
"Minor Arterial","35837","44639","35837","CA","2012-10-01"
"Minor Collector","0","5952","0","CA","2012-10-01"
"Principal Arterial - Other","29226","20830","29226","CA","2012-10-01"
"Trail or Shared Use Path","24388","23362","24388","CA","2012-10-01"
"Interstate","10444","5752","10444","CA","2012-11-01"
"Major Collector","42258","28744","42258","CA","2012-11-01"
"Minor Arterial","30880","43123","30880","CA","2012-11-01"
"Minor Collector","0","5752","0","CA","2012-11-01"
"Principal Arterial - Other","25804","20123","25804","CA","2012-11-01"
"Trail or Shared Use Path","20897","23008","20897","CA","2012-11-01"
"Interstate","8301","5952","8301","CA","2012-12-01"
"Major Collector","31283","29758","31283","CA","2012-12-01"
"Minor Arterial","25225","44629","25225","CA","2012-12-01"
"Minor Collector","0","5950","0","CA","2012-12-01"
"Principal Arterial - Other","20198","20830","20198","CA","2012-12-01"
"Trail or Shared Use Path","18367","23806","18367","CA","2012-12-01"
"Interstate","9534","5948","9534","CA","2013-01-01"
"Major Collector","34174","29760","34174","CA","2013-01-01"
"Minor Arterial","26173","44624","26173","CA","2013-01-01"
"Minor Collector","0","5952","0","CA","2013-01-01"
"Principal Arterial - Other","23227","20823","23227","CA","2013-01-01"
"Trail or Shared Use Path","19948","23796","19948","CA","2013-01-01"
"Interstate","10187","5376","10187","CA","2013-02-01"
"Major Collector","35876","26880","35876","CA","2013-02-01"
"Minor Arterial","27131","40320","27131","CA","2013-02-01"
"Minor Collector","0","5376","0","CA","2013-02-01"
"Principal Arterial - Other","23359","18816","23359","CA","2013-02-01"
"Trail or Shared Use Path","19173","21504","19173","CA","2013-02-01"
"Interstate","12882","5944","12135","CA","2013-03-01"
"Major Collector","50605","29718","47830","CA","2013-03-01"
"Minor Arterial","33672","44580","32080","CA","2013-03-01"
"Minor Collector","0","5944","0","CA","2013-03-01"
"Principal Arterial - Other","29190","20804","27880","CA","2013-03-01"
"Trail or Shared Use Path","25745","23776","24528","CA","2013-03-01"
"Interstate","12664","5760","12664","CA","2013-04-01"
"Major Collector","35244","28800","35244","CA","2013-04-01"
"Minor Arterial","32445","43200","32445","CA","2013-04-01"
"Minor Collector","0","5760","0","CA","2013-04-01"
"Principal Arterial - Other","28351","20160","28351","CA","2013-04-01"
"Trail or Shared Use Path","25842","23040","25842","CA","2013-04-01"
"Interstate","13606","5952","13606","CA","2013-05-01"
"Major Collector","38972","29760","38972","CA","2013-05-01"
"Minor Arterial","33790","44640","33790","CA","2013-05-01"
"Minor Collector","0","5952","0","CA","2013-05-01"
"Principal Arterial - Other","31566","20832","31566","CA","2013-05-01"
"Trail or Shared Use Path","28710","23808","28710","CA","2013-05-01"
"Interstate","16557","5760","16557","CA","2013-06-01"
"Major Collector","44432","28800","44432","CA","2013-06-01"
"Minor Arterial","35999","43200","35999","CA","2013-06-01"
"Minor Collector","0","5760","0","CA","2013-06-01"
