"start_time","flow_type","volume","segment_area_id","segment_name","state","city","functional_classification"
"2019-01-01","bike","18",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-02-01","bike","19",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-03-01","bike","26",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-04-01","bike","40",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-05-01","bike","45",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-06-01","bike","48",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-07-01","bike","45",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-08-01","bike","43",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-09-01","bike","49",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-10-01","bike","35",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-11-01","bike","22",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2019-12-01","bike","14",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-01-01","bike","19",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-02-01","bike","34",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-03-01","bike","75",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-04-01","bike","142",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-05-01","bike","172",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-06-01","bike","147",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-07-01","bike","114",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-08-01","bike","111",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-09-01","bike","127",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-10-01","bike","90",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-11-01","bike","84",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-12-01","bike","55",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-01-01","bike","51",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-02-01","bike","35",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-03-01","bike","73",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-04-01","bike","100",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-05-01","bike","99",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-06-01","bike","93",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-07-01","bike","82",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-08-01","bike","77",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-09-01","bike","90",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-10-01","bike","76",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-11-01","bike","52",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2021-12-01","bike","46",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-01-01","bike","19",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-02-01","bike","38",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-03-01","bike","55",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-04-01","bike","62",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-05-01","bike","49",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-06-01","bike","63",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-07-01","bike","59",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-08-01","bike","68",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-09-01","bike","72",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-10-01","bike","57",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-11-01","bike","46",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2022-12-01","bike","27",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-01-01","bike","36",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-02-01","bike","19",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-03-01","bike","20",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-04-01","bike","58",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-05-01","bike","69",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-06-01","bike","58",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-07-01","bike","55",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-08-01","bike","59",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-09-01","bike","53",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-10-01","bike","57",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-11-01","bike","37",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2023-12-01","bike","24",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2024-01-01","bike","21",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2024-02-01","bike","31",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2024-03-01","bike","40",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2024-04-01","bike","53",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2024-05-01","bike","53",37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial"
"2020-02-01","mixed","226",38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path"
"2020-03-01","mixed","345",38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path"
"2020-04-01","mixed","160",38,"Four Mile Run Trail","VA","Alexandria","Trail or Shared Use Path"
