"","start_time","flow_type","volume","segment_area_id","segment_name","state","city","functional_classification","descriptions","facility_types","lat","long","year","month"
"1",2019-01-01,"bike",18,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Jan"
"2",2019-02-01,"bike",19,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Feb"
"3",2019-03-01,"bike",26,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Mar"
"4",2019-04-01,"bike",40,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Apr"
"5",2019-05-01,"bike",45,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"May"
"6",2019-06-01,"bike",48,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Jun"
"7",2019-07-01,"bike",45,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Jul"
"8",2019-08-01,"bike",43,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Aug"
"9",2019-09-01,"bike",49,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Sep"
"10",2019-10-01,"bike",35,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Oct"
"11",2019-11-01,"bike",22,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Nov"
"12",2019-12-01,"bike",14,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2019,"Dec"
"13",2020-01-01,"bike",19,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Jan"
"14",2020-02-01,"bike",34,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Feb"
"15",2020-03-01,"bike",75,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Mar"
"16",2020-04-01,"bike",142,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Apr"
"17",2020-05-01,"bike",172,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"May"
"18",2020-06-01,"bike",147,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Jun"
"19",2020-07-01,"bike",114,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Jul"
"20",2020-08-01,"bike",111,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Aug"
"21",2020-09-01,"bike",127,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Sep"
"22",2020-10-01,"bike",90,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Oct"
"23",2020-11-01,"bike",84,37,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane",38.90556,-77.10936,2020,"Nov"
